OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1392,2020-035W,2026-05-27T17:48:24.249312,15.37056923,.0003255,53.1546,55.9929,112.0832,248.0517,0,U,45677,999,33088,.14033E-2,.51598E-3,0
STARLINK-1394,2020-035Y,2026-05-27T15:19:35.998176,15.63568226,.0006159,53.0418,13.7337,119.5967,240.5661,0,U,45679,999,33145,.11505E-2,.109785E-2,0
STARLINK-1402,2020-035AE,2026-05-27T20:22:33.017664,15.56585406,.0005473,53.0413,2.9303,142.0506,218.0891,0,U,45685,999,33163,.85756E-3,.62089E-3,0
STARLINK-1404,2020-035AF,2026-05-27T17:09:29.709216,15.43028326,.0004682,53.1580,38.2456,124.8344,235.3104,0,U,45686,999,33113,.13887E-2,.62327E-3,0
STARLINK-1413,2020-035AJ,2026-05-27T20:52:03.567072,15.33895221,.0002907,53.1589,41.1470,125.5016,234.6257,0,U,45689,999,33102,.14093E-2,.46782E-3,0
STARLINK-1417,2020-035AN,2026-05-27T11:02:57.015168,15.16139496,.00060895,53.0502,56.2386,101.3142,258.8536,0,U,45693,999,33083,.13455553E-2,.26052E-3,0
STARLINK-1420,2020-035AQ,2026-05-27T20:45:08.762400,15.66780808,.0005499,53.0468,356.0330,101.7324,258.4308,0,U,45695,999,33172,.58638E-3,.62971E-3,0
STARLINK-1422,2020-035AR,2026-05-27T20:56:31.382016,15.33874493,.0003406,53.1576,41.0812,110.8528,249.2840,0,U,45696,999,33110,.63489E-3,.20782E-3,0
STARLINK-1351,2020-035AS,2026-05-27T19:26:55.550688,15.65215862,.0005491,53.0441,356.5961,123.6638,236.4900,0,U,45697,999,33171,.43351E-3,.43452E-3,0
STARLINK-1400,2020-035AV,2026-05-27T19:33:31.417344,15.63434600,.0003127,53.0436,359.0299,69.3441,290.7908,0,U,45700,999,33167,.83336E-3,.78601E-3,0
STARLINK-1403,2020-035AW,2026-05-27T16:22:41.882016,15.32836582,.0002693,53.1571,29.4333,130.0247,230.0992,0,U,45701,999,33124,.15882E-2,.51053E-3,0
STARLINK-1407,2020-035AY,2026-05-27T16:09:32.515200,15.72165235,.0004505,53.0276,287.0076,4.6935,355.4123,0,U,45703,999,33267,.57564E-3,.77457E-3,0
STARLINK-1411,2020-035BB,2026-05-27T22:00:01.998720,15.84984516,.0005042,53.0318,308.3777,298.6882,139.6571,0,U,45706,999,594,.14281E-2,.355773E-2,0
STARLINK-1423,2020-035BF,2026-05-27T20:07:04.819872,15.67722473,.0006723,53.0454,355.6822,71.2300,288.9444,0,U,45710,999,33171,.55588E-3,.62022E-3,0
STARLINK-1433,2020-035BG,2026-05-27T19:41:51.034848,15.67273400,.0006731,53.0442,354.3345,75.5918,284.5844,0,U,45711,999,33173,.52688E-3,.57656E-3,0
STARLINK-1434,2020-035BH,2026-05-27T20:33:43.980192,15.33252904,.0003384,53.0511,11.3508,63.8638,296.2711,0,U,45712,999,33151,.97295E-3,.31467E-3,0
STARLINK-1465,2020-038B,2026-05-27T22:00:01.998720,15.64791465,.0001418,53.0444,199.2879,63.1286,123.2026,0,U,45731,999,599,.37419E-3,.36745E-3,0
STARLINK-1471,2020-038F,2026-05-27T15:30:46.778400,15.52841075,.0003233,53.0457,122.5376,83.8491,276.2886,0,U,45735,999,32978,.47015E-3,.29306E-3,0
STARLINK-1480,2020-038M,2026-05-27T09:53:06.972864,15.63854983,.0005988,53.0477,195.3561,355.4362,4.6596,0,U,45741,999,32874,.10124788E-2,.97493E-3,0
STARLINK-1500,2020-038Q,2026-05-27T08:47:08.275200,15.38589779,.00021691,53.0350,182.5377,96.1659,263.9591,0,U,45744,999,32891,.72979073E-3,.27933E-3,0
