OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 158,2018-061C,2026-05-27T19:42:25.848864,14.34216000,.000234,86.3970,65.2719,83.4083,276.7379,0,U,43571,999,41044,.68603E-4,.212E-5,0
IRIDIUM 165,2018-061D,2026-05-27T18:38:30.431040,14.34217526,.0002004,86.3969,65.3365,82.4743,277.6681,0,U,43572,999,41046,-.75124E-5,-.1E-7,0
IRIDIUM 155,2018-061E,2026-05-27T19:24:10.363392,14.34217831,.0002304,86.3969,65.1928,81.8438,278.3019,0,U,43573,999,41043,.85878E-4,.26E-5,0
IRIDIUM 154,2018-061F,2026-05-27T20:37:14.048832,14.34217862,.0002195,86.3969,65.3045,86.2870,273.8577,0,U,43574,999,41049,.87126E-4,.264E-5,0
IRIDIUM 163,2018-061G,2026-05-27T18:29:22.513344,14.34217521,.0002253,86.3967,65.2576,84.8778,275.2674,0,U,43575,999,41045,-.63014E-5,.2E-7,0
IRIDIUM 156,2018-061H,2026-05-27T19:33:18.483264,14.34217322,.0002133,86.3967,65.2463,79.3133,280.8302,0,U,43576,999,41045,-.14357E-4,-.2E-6,0
IRIDIUM 164,2018-061J,2026-05-27T17:25:26.624640,14.34220931,.0002021,86.3972,65.3235,84.9461,275.1965,0,U,43577,999,41048,.7739E-4,.237E-5,0
IRIDIUM 159,2018-061K,2026-05-27T18:20:14.428896,14.34217986,.0002313,86.3967,65.2448,86.8071,273.3389,0,U,43578,999,41045,.56934E-5,.36E-6,0
IRIDIUM 180,2019-002A,2026-05-27T19:59:58.930080,14.34217691,.0002222,86.3984,2.1076,88.9011,271.2440,0,U,43922,999,38607,.21817E-5,.26E-6,0
IRIDIUM 176,2019-002B,2026-05-27T20:04:46.782048,14.72255365,.0002229,86.6102,2.0527,88.0289,272.1184,0,U,43923,999,39625,.12274E-3,.799E-5,0
IRIDIUM 168,2019-002C,2026-05-27T16:29:54.944736,14.34217904,.0002152,86.3986,2.2451,87.3767,272.7675,0,U,43924,999,38603,.13674E-4,.58E-6,0
IRIDIUM 173,2019-002D,2026-05-27T16:11:38.959008,14.34217769,.0002261,86.3980,2.1401,86.1906,273.9548,0,U,43925,999,38601,.45447E-5,.33E-6,0
IRIDIUM 169,2019-002E,2026-05-27T17:35:56.244768,14.38609622,.0002551,86.4244,33.7433,72.5146,287.6330,0,U,43926,999,38728,.78053E-4,.259E-5,0
